,bikescore,name,rank,transitscore,walkscore
0, 87 ,Little Italy,1, 100 ,100
1, 84 ,Flatiron District,2, 100 ,100
2, 87 ,Chinatown,3, 100 ,100
3, 82 ,NoMad,4, 100 ,100
4, 89 ,Bowery,5, 100 ,100
5, 81 ,Koreatown,6, 100 ,100
6, 85 ,Union Square,7, 100 ,100
7, 87 ,NoHo,8, 100 ,100
8, 88 ,NoLita,9, 100 ,100
9, 84 ,Gramercy Park,10, 100 ,100
10, 80 ,Financial District,11, 100 ,100
11, 84 ,Tribeca,12, 100 ,99
12, 82 ,Garment District,13, 100 ,99
13, 87 ,SoHo,14, 100 ,99
14, 86 ,Greenwich Village,15, 100 ,99
15, 80 ,Theater District,16, 100 ,99
16, 77 ,Midtown East,17, 100 ,99
17, 87 ,West Village,18, 100 ,99
18, 80 ,Kips Bay,19, 100 ,99
19, 78 ,Murray Hill,20, 100 ,99
20, 85 ,Civic Center,21, 100 ,98
21, 90 ,Boerum Hill,22, 100 ,98
22, 80 ,Hell's Kitchen,23, 100 ,98
23, 87 ,Chelsea,24, 100 ,98
24, 73 ,Upper East Side,25, 99 ,98
25, 87 ,Two Bridges,26, 99 ,98
26, 82 ,DUMBO,27, 100 ,98
27, 90 ,Cobble Hill,28, 98 ,97
28, 86 ,Prospect Heights,29, 100 ,97
29, 89 ,Fort Greene,30, 100 ,97
30, 82 ,Brooklyn Heights,31, 100 ,97
31, 73 ,Fordham Heights,32, 99 ,97
32, 82 ,Greenpoint,33, 68 ,97
33, 90 ,East Village,34, 96 ,97
34, 80 ,Battery Park City,35, 100 ,97
35, 90 ,Clinton Hill,36, 98 ,97
36, 90 ,Carroll Gardens,37, 85 ,97
37, 85 ,Park Slope,38, 96 ,97
38, 84 ,Williamsburg,39, 92 ,96
39, 69 ,Inwood,40, 88 ,96
40, 80 ,Upper West Side,41, 99 ,96
41, 88 ,Gowanus,42, 94 ,96
42, 70 ,Washington Heights,43, 97 ,96
43, 88 ,Downtown Brooklyn,44, 100 ,96
44, 75 ,Central Harlem,45, 100 ,96
45, 70 ,Mount Hope,46, 94 ,96
